,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
85,44,116,360,200,3,0.7999999999999999,128,58,64,94,9,11,340,1,3,1,1.0,0,1,0.7
86,42,26,590,450,1,1.0,66,104,118,100,6,12,340,3,5,0,0.7999999999999999,1,1,1.0
87,62,43,590,620,4,0.6,34,117,52,114,10,9,220,2,7,1,0.5,0,0,0.7999999999999999
88,98,44,570,500,3,0.7999999999999999,24,61,80,74,8,10,280,6,6,0,0.7999999999999999,1,0,0.5
89,33,28,490,980,1,0.8999999999999999,30,43,42,118,12,12,200,1,2,0,0.7,0,0,0.7999999999999999
90,40,77,690,690,5,0.6,72,66,114,44,12,9,260,4,8,0,0.7,1,1,0.7
91,45,111,440,840,1,1.0,84,61,116,100,11,9,180,10,5,1,0.6,1,1,0.5
92,37,101,870,640,2,0.8999999999999999,102,24,50,66,9,10,200,8,5,0,0.5,0,1,0.6
93,125,67,760,460,5,0.6,100,61,92,88,7,6,400,5,4,1,0.5,1,1,0.8999999999999999
94,97,110,200,370,2,0.7,114,120,110,60,11,9,40,10,4,1,0.7,1,0,0.7999999999999999
95,109,103,330,500,3,0.5,4,34,46,42,9,16,160,10,8,0,1.0,0,0,0.6
96,113,39,230,1000,3,0.8999999999999999,50,112,46,94,11,11,360,2,5,0,1.0,0,0,0.7999999999999999
97,59,123,740,320,1,0.7999999999999999,86,114,86,76,6,8,60,1,7,0,1.0,0,1,0.6
98,86,75,910,390,4,0.6,96,88,112,100,7,15,340,5,2,1,0.5,0,1,0.7999999999999999
99,80,81,650,430,1,1.0,60,57,34,92,11,12,500,8,1,0,0.8999999999999999,1,1,0.7
100,54,69,730,420,5,0.7,64,68,42,46,7,10,480,8,5,0,0.6,1,0,0.7999999999999999
101,34,72,150,320,3,0.5,122,107,120,82,7,9,280,4,8,0,1.0,1,0,1.0
102,126,105,670,230,5,0.5,16,106,102,72,8,13,300,6,8,0,0.7,0,0,0.5
103,68,80,620,410,4,1.0,96,76,104,26,6,12,260,6,1,0,1.0,0,1,0.7
104,46,83,230,850,3,1.0,58,98,128,62,11,15,120,3,7,0,0.7,1,1,0.7999999999999999
105,99,38,670,340,1,0.6,44,43,80,68,8,14,160,3,6,1,0.6,1,1,1.0
106,70,44,460,920,3,0.6,4,64,116,86,8,10,420,7,3,0,1.0,0,1,0.6
107,115,99,730,870,2,0.7,18,80,38,112,8,9,240,10,3,0,0.5,1,0,0.5
108,125,55,310,660,4,0.6,42,105,72,62,6,13,500,1,5,1,0.8999999999999999,0,1,1.0
109,45,95,930,780,5,0.7,60,104,50,46,6,16,480,1,1,0,0.5,1,1,0.6
110,122,103,210,470,2,0.7999999999999999,86,43,62,44,10,11,240,5,8,1,0.6,1,1,0.7999999999999999
111,39,43,980,380,4,0.6,126,42,90,40,12,6,100,1,3,1,0.5,0,1,0.7999999999999999
112,51,24,990,440,2,0.7,10,40,88,102,10,15,200,6,4,0,0.5,1,1,0.5
113,79,122,500,960,4,0.7,46,102,72,42,7,10,320,8,6,1,0.5,1,0,1.0
114,51,41,660,790,5,0.5,74,44,94,64,9,15,120,9,6,1,0.6,1,1,0.6
115,121,110,710,300,3,0.5,116,32,120,62,8,6,320,4,2,1,0.5,0,1,1.0
116,76,61,200,700,1,0.7999999999999999,64,44,36,32,7,12,100,1,7,1,0.7999999999999999,1,0,0.8999999999999999
117,29,69,490,890,5,1.0,64,97,90,68,8,8,180,2,2,0,1.0,0,1,0.6
118,47,104,450,260,5,0.7,30,121,24,54,8,11,20,4,5,1,1.0,1,1,0.6
119,123,59,120,660,1,0.6,52,60,40,74,11,10,340,10,3,1,0.8999999999999999,1,0,0.7
120,66,118,160,870,1,1.0,28,107,44,40,11,16,160,1,3,0,0.7999999999999999,0,1,0.5
121,101,101,930,130,4,0.7,20,29,40,38,9,14,200,10,8,1,1.0,1,1,0.8999999999999999
122,123,39,210,310,1,0.7999999999999999,104,83,124,124,8,8,180,8,8,0,0.6,0,0,0.6
123,69,128,290,470,5,0.6,122,80,60,106,12,15,240,3,4,1,0.7,0,0,0.7
124,104,43,360,540,2,0.5,4,49,98,98,6,15,280,1,5,1,0.7,0,0,0.8999999999999999
125,105,26,850,610,3,0.6,84,123,46,44,12,13,160,9,7,0,1.0,1,0,1.0
126,27,114,370,200,5,0.5,84,94,98,80,11,12,360,2,8,0,1.0,0,1,0.7999999999999999
127,96,43,280,210,3,1.0,60,85,110,96,12,15,40,10,4,1,1.0,1,0,0.6
128,48,110,150,170,2,0.5,64,96,96,56,7,10,480,2,4,0,0.5,0,0,0.8999999999999999
129,27,28,530,430,4,0.7999999999999999,50,33,56,124,9,6,80,5,8,0,0.6,1,1,0.8999999999999999
130,24,111,1000,550,1,0.7999999999999999,8,83,120,90,9,7,80,1,1,1,1.0,0,1,1.0
131,79,125,990,370,5,0.8999999999999999,72,103,56,36,11,12,360,1,4,1,0.7,0,1,0.6
132,37,105,300,560,1,1.0,14,35,60,104,10,13,240,2,2,0,0.6,0,1,0.7
133,62,117,290,470,4,0.7,50,103,102,62,8,6,20,6,8,1,1.0,1,1,0.8999999999999999
134,36,82,180,240,1,0.7999999999999999,28,106,42,114,8,16,80,8,6,0,1.0,1,0,0.8999999999999999
135,57,115,490,100,2,1.0,98,24,30,38,12,15,360,3,6,0,1.0,1,0,0.7
136,63,123,170,950,2,0.7999999999999999,66,111,82,34,11,11,140,6,4,1,0.8999999999999999,1,0,0.6
137,40,101,940,720,2,0.5,14,127,50,126,8,8,120,3,6,0,0.5,1,1,0.6
138,121,71,480,120,3,0.7999999999999999,54,65,64,58,6,11,400,3,5,1,0.7999999999999999,0,1,0.8999999999999999
139,55,39,680,890,3,0.7,84,78,120,88,10,8,220,1,8,1,0.7,1,0,0.7
140,97,49,320,980,4,1.0,14,66,80,76,12,16,40,10,2,1,0.8999999999999999,1,1,1.0
141,74,126,840,320,5,0.7999999999999999,98,110,70,114,6,11,400,3,7,1,1.0,1,0,0.7
142,84,65,870,820,5,0.7,14,102,104,50,11,14,260,1,5,1,1.0,0,0,0.7999999999999999
143,41,42,980,760,1,0.8999999999999999,108,109,30,92,6,13,360,3,5,1,0.5,1,0,0.6
144,65,76,510,520,3,0.5,128,29,128,28,11,14,100,8,1,0,1.0,0,0,0.7999999999999999
145,63,60,580,880,5,0.6,14,80,42,62,9,10,40,6,8,0,0.7,0,0,0.7
146,114,37,200,550,3,0.8999999999999999,92,40,58,74,7,8,340,5,8,1,1.0,1,1,0.7
147,75,77,190,230,2,1.0,82,65,68,66,6,11,120,8,1,1,0.6,0,0,0.7
148,29,123,200,890,2,0.7,4,126,50,30,10,6,460,8,4,1,0.5,0,1,0.5
149,107,25,100,580,4,0.8999999999999999,24,86,128,82,6,15,400,1,6,1,0.7,1,0,1.0
150,108,119,190,610,1,1.0,42,127,44,96,9,13,40,7,4,0,0.6,0,1,0.7999999999999999
151,127,69,290,230,2,0.7,86,30,128,90,6,15,160,5,4,0,0.6,1,1,0.7
152,60,100,530,460,4,0.7,22,41,38,112,9,16,400,8,5,0,0.7999999999999999,1,1,1.0
153,39,31,300,550,2,1.0,14,111,34,28,11,6,120,4,3,0,1.0,1,1,0.5
154,49,122,730,210,3,0.6,94,97,98,56,12,8,460,10,4,1,0.8999999999999999,1,0,0.6
155,119,57,870,750,1,1.0,100,105,26,84,10,8,360,9,2,0,0.7,1,0,0.5
156,52,32,560,430,3,0.8999999999999999,118,42,74,90,9,13,260,9,6,1,0.6,1,1,0.8999999999999999
157,25,102,470,170,5,0.8999999999999999,10,105,104,72,10,9,380,3,8,0,0.6,0,1,0.7
158,69,69,150,280,2,0.6,56,81,32,84,8,6,440,1,7,0,1.0,0,1,0.6
159,33,73,320,120,4,0.5,20,93,68,112,12,11,300,3,5,0,0.7,1,0,0.8999999999999999
160,105,42,140,280,1,1.0,12,110,88,26,6,7,120,10,3,1,0.7999999999999999,0,0,0.8999999999999999
161,107,54,850,370,5,0.5,110,94,84,26,8,6,440,6,7,1,1.0,1,0,1.0
162,31,91,940,440,5,0.7,68,106,30,54,8,8,100,7,7,0,0.7999999999999999,1,1,0.7999999999999999
163,125,100,330,1000,2,0.7,24,36,26,30,12,9,60,7,2,0,0.6,0,1,0.7
164,124,122,530,380,3,0.7999999999999999,22,39,84,90,6,16,460,1,1,1,0.5,1,1,0.7999999999999999
165,110,88,670,410,4,0.7,4,115,128,122,11,7,280,2,3,0,0.7999999999999999,1,1,0.6
166,44,91,340,300,5,0.5,20,96,78,30,12,8,180,6,1,0,1.0,0,0,0.7
167,96,35,940,680,3,0.7,92,112,50,32,8,7,480,6,2,0,0.7999999999999999,1,0,0.5
168,122,37,120,160,2,1.0,18,38,78,86,6,13,500,5,7,0,0.7,1,1,0.7
169,56,97,180,460,4,0.7999999999999999,20,104,98,120,9,9,360,5,6,1,0.6,0,0,0.7
170,96,40,600,670,4,0.7999999999999999,128,121,84,42,12,9,60,2,6,0,0.7999999999999999,1,1,0.6
171,45,96,570,720,2,0.7999999999999999,58,113,50,44,9,14,260,1,8,1,0.5,0,0,0.6
172,46,74,840,370,3,0.7999999999999999,80,115,42,42,12,13,80,8,2,1,0.8999999999999999,0,0,1.0
173,78,126,590,880,4,0.7,60,35,34,104,7,6,160,1,8,1,0.7999999999999999,0,0,0.5
174,93,56,150,730,5,0.5,110,93,110,24,6,16,260,10,5,0,0.7999999999999999,0,1,0.8999999999999999
175,38,92,790,340,3,0.8999999999999999,36,42,38,104,6,12,160,9,2,0,0.5,1,0,0.8999999999999999
176,89,59,640,670,2,1.0,66,103,84,118,9,10,60,5,1,0,0.8999999999999999,1,1,0.7
177,99,69,890,560,2,0.7,6,122,32,124,11,12,380,3,6,0,1.0,1,1,0.8999999999999999
178,74,89,150,310,3,0.8999999999999999,30,37,76,76,10,11,320,2,4,0,0.5,0,0,0.7
179,81,119,730,710,4,0.6,54,69,126,126,8,15,480,9,6,0,0.7999999999999999,0,1,0.6
180,90,75,400,120,5,0.8999999999999999,78,59,128,96,8,11,200,3,5,0,0.8999999999999999,0,1,0.7
181,26,125,670,770,3,0.5,126,111,66,122,12,6,300,4,5,0,0.5,1,0,0.6
182,69,96,750,100,1,0.7,66,33,80,124,10,15,280,9,2,1,0.7,0,0,0.6
183,72,98,740,370,5,0.7999999999999999,20,78,106,48,10,11,260,2,7,1,0.7999999999999999,1,1,0.6
184,113,77,720,300,2,0.5,40,91,94,46,8,10,240,9,7,0,1.0,1,1,0.8999999999999999
185,39,90,550,120,4,0.7,24,95,66,90,10,10,20,6,1,1,1.0,1,0,0.7999999999999999
186,91,46,750,340,4,0.7,124,42,126,40,6,7,320,6,8,1,0.8999999999999999,0,0,0.8999999999999999
187,108,38,930,470,5,0.5,72,33,36,72,8,6,240,5,5,1,0.8999999999999999,1,1,0.5
188,108,83,700,860,4,0.7999999999999999,118,127,116,106,8,12,60,8,7,0,0.6,0,1,0.7
189,110,75,110,320,2,0.8999999999999999,126,124,60,42,7,10,240,2,2,0,0.6,0,0,0.7999999999999999
190,24,75,220,550,1,1.0,68,119,52,68,12,10,200,2,7,1,0.5,0,1,0.7999999999999999
191,24,112,170,220,1,0.7999999999999999,104,110,76,40,11,7,400,2,5,0,0.7,1,0,0.8999999999999999
192,29,67,1000,120,1,0.7999999999999999,102,108,120,60,8,9,260,4,2,1,0.7999999999999999,0,1,0.7999999999999999
193,124,47,730,440,5,0.7999999999999999,120,102,108,78,8,6,360,4,2,1,1.0,1,0,0.8999999999999999
194,91,75,840,980,3,1.0,88,71,48,100,12,9,240,2,7,0,0.8999999999999999,0,1,0.7999999999999999
195,33,93,320,490,5,0.8999999999999999,72,73,70,24,11,16,20,8,3,1,0.8999999999999999,0,1,0.7999999999999999
196,93,24,340,700,5,0.7999999999999999,88,85,32,78,9,6,400,8,8,0,0.8999999999999999,1,0,0.5
197,123,32,960,100,4,0.7999999999999999,96,105,32,84,8,12,440,9,5,0,0.7,0,1,0.7999999999999999
198,79,31,740,120,5,0.7999999999999999,78,101,68,126,7,7,480,1,4,0,0.5,1,0,0.5
199,84,46,630,500,1,0.6,2,46,48,30,8,10,480,3,4,1,0.7,1,0,1.0
200,85,34,980,830,1,0.8999999999999999,104,33,28,96,6,9,180,10,2,1,0.7,1,1,0.6
201,125,58,160,230,2,0.7999999999999999,128,28,40,124,8,16,80,3,6,1,0.8999999999999999,0,1,0.7999999999999999
202,75,89,220,430,3,1.0,66,107,58,108,8,11,400,10,5,0,1.0,1,1,0.8999999999999999
203,35,95,570,600,3,0.6,110,93,38,60,12,7,100,2,1,1,1.0,1,0,0.7
204,56,99,950,730,3,0.7,32,109,56,116,12,13,140,9,1,0,0.8999999999999999,1,1,0.6
205,99,88,540,880,3,0.5,72,46,32,44,7,12,360,6,7,1,0.6,1,0,0.7
206,36,40,220,400,5,0.7,72,40,124,104,12,8,500,6,5,1,0.8999999999999999,0,1,0.5
207,27,105,990,420,5,0.6,90,82,72,50,11,10,300,2,1,0,0.7999999999999999,1,1,0.7999999999999999
208,37,111,340,370,4,0.6,40,33,32,56,11,8,220,9,1,0,0.7999999999999999,1,0,0.8999999999999999
209,91,61,500,300,4,0.7,76,66,34,76,7,11,180,10,6,1,1.0,1,1,0.8999999999999999
210,63,37,850,590,3,0.7,122,98,116,78,12,9,360,8,6,0,0.7999999999999999,1,0,0.6
211,77,110,100,750,1,0.5,94,74,58,88,9,16,380,4,6,0,0.5,0,1,1.0
212,60,74,610,760,3,0.7,92,120,76,74,10,8,140,9,2,1,1.0,1,0,0.6
213,113,98,620,590,1,0.8999999999999999,124,92,68,44,8,6,360,9,4,1,0.8999999999999999,0,1,0.6
214,26,26,180,690,3,0.5,122,57,80,78,12,7,20,2,3,0,0.6,0,1,0.7
215,61,114,610,630,5,0.5,88,80,54,80,10,14,360,5,5,0,0.7999999999999999,1,1,0.6
216,107,118,450,950,2,0.5,46,124,68,116,9,11,360,6,2,0,0.6,1,1,0.7999999999999999
217,58,38,180,570,5,0.8999999999999999,26,42,124,124,12,11,500,4,7,0,1.0,1,1,0.7999999999999999
218,75,32,960,590,3,0.8999999999999999,124,60,108,102,8,10,320,10,4,0,0.5,1,1,1.0
219,69,115,220,290,1,0.5,12,42,96,66,8,14,260,9,3,1,0.6,1,1,0.5
220,27,93,470,160,3,0.7,96,99,62,50,12,15,300,9,5,1,0.7,0,1,0.7
221,117,113,970,510,2,0.8999999999999999,4,62,62,104,7,13,20,3,8,1,1.0,1,0,0.8999999999999999
222,103,25,320,780,3,0.8999999999999999,88,128,48,34,7,7,80,3,7,0,0.7999999999999999,0,0,0.6
223,76,56,180,780,3,0.5,44,58,128,126,10,11,20,6,4,1,0.7,0,1,0.8999999999999999
224,53,121,710,940,1,0.6,120,68,88,72,6,10,440,9,3,1,0.7999999999999999,0,1,0.7
225,80,122,290,980,5,0.5,70,24,66,110,11,15,380,7,4,1,0.5,1,1,1.0
226,102,40,600,860,3,0.8999999999999999,116,92,94,76,7,6,160,3,7,1,0.8999999999999999,0,1,0.7999999999999999
227,33,100,180,780,1,0.6,60,56,84,110,11,10,280,9,4,0,0.6,0,1,0.6
228,49,72,770,440,4,1.0,84,48,64,68,12,12,180,2,8,0,0.7999999999999999,0,1,0.7
229,105,103,390,310,2,0.6,116,69,44,72,9,13,300,4,4,1,0.8999999999999999,0,1,0.8999999999999999
230,60,55,520,820,1,1.0,108,24,88,28,6,7,100,4,1,0,0.7,1,0,0.7
231,125,33,720,430,5,1.0,50,30,120,120,8,13,180,9,5,0,0.7999999999999999,1,1,0.7
232,128,40,560,270,5,0.7999999999999999,116,127,78,56,7,10,380,2,8,1,0.7999999999999999,0,1,0.7
233,108,118,980,480,3,0.7,66,46,102,60,7,9,100,10,8,1,0.7,0,0,1.0
234,65,68,710,690,2,0.7,92,89,62,108,9,12,100,10,2,0,0.5,1,1,0.5
235,86,103,630,670,5,0.6,58,128,100,120,8,11,360,10,1,1,1.0,0,1,0.6
236,24,38,190,820,1,1.0,94,54,34,68,11,11,300,7,4,1,0.7999999999999999,1,1,0.5
237,43,59,820,330,4,0.7,32,41,62,72,7,14,180,5,4,0,0.7999999999999999,0,0,0.5
238,60,82,930,260,3,0.8999999999999999,40,105,44,82,9,15,360,2,1,0,1.0,1,0,0.6
239,123,66,330,260,5,0.6,82,28,34,38,7,6,160,1,5,1,0.7,0,0,0.8999999999999999
240,104,30,750,590,3,0.5,74,29,44,48,9,15,440,3,6,1,0.6,0,0,0.5
241,74,107,280,120,5,0.6,102,89,88,34,12,14,480,2,2,1,0.7,0,1,0.8999999999999999
242,62,111,630,730,1,0.7,82,53,82,110,9,6,440,9,6,0,0.6,1,1,0.7
243,58,25,310,440,3,0.8999999999999999,46,45,112,122,7,11,180,6,3,1,1.0,0,1,0.5
244,106,42,850,270,3,0.7999999999999999,82,72,120,110,11,15,380,10,7,0,0.5,0,0,0.7
245,102,127,500,880,4,0.6,46,76,92,64,8,15,500,7,8,1,1.0,0,1,0.8999999999999999
246,43,34,270,920,3,0.6,92,72,44,56,7,9,60,8,6,1,0.5,0,0,0.8999999999999999
247,35,24,220,230,4,0.7999999999999999,82,63,64,110,10,6,420,8,7,0,1.0,1,0,0.7999999999999999
248,24,118,550,800,2,0.7999999999999999,56,26,34,102,7,9,100,9,2,1,0.8999999999999999,1,1,0.6
249,128,25,350,590,5,0.8999999999999999,128,56,96,38,8,11,280,7,3,0,0.5,0,0,0.7999999999999999
250,124,57,900,280,1,0.7999999999999999,40,94,106,116,10,8,320,5,4,0,0.8999999999999999,0,1,0.7999999999999999
251,91,57,380,790,2,0.7999999999999999,100,29,42,118,9,8,480,4,4,0,0.7,0,1,0.6
252,24,31,320,500,4,0.6,96,122,48,104,8,9,300,1,3,0,0.5,0,0,0.8999999999999999
253,117,96,930,550,4,0.5,42,76,100,62,9,15,400,8,3,0,0.7999999999999999,1,1,0.7
254,69,85,440,390,5,1.0,28,127,38,44,11,8,460,5,3,1,0.5,0,0,0.6
255,77,100,340,520,4,0.5,8,26,36,56,11,14,60,8,3,0,0.5,0,1,1.0
256,81,128,140,780,2,0.8999999999999999,38,78,64,128,12,12,340,8,7,0,1.0,1,1,0.5
257,99,81,690,770,5,0.7,64,93,72,68,6,14,60,7,2,1,0.7,1,0,0.7
