,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
16,47m,79k,900,870ms,4,0.7999999999999999,96m,33k,122m,28k,9g,15g,400s,4s,2,false,0.6,false,false,0.7
17,75m,93k,210,950ms,4,0.8999999999999999,100m,26k,94m,38k,7g,15g,320s,1s,4,false,0.7,false,false,0.5
18,75m,47k,640,600ms,2,0.7999999999999999,88m,65k,32m,82k,6g,14g,480s,2s,4,true,0.7999999999999999,false,true,0.5
19,42m,32k,180,120ms,5,0.5,42m,38k,128m,36k,10g,8g,440s,10s,4,false,0.9999999999999999,false,true,0.7
20,46m,30k,780,720ms,2,0.8999999999999999,48m,104k,118m,90k,10g,10g,360s,4s,5,true,0.7,true,false,0.6
21,54m,25k,670,970ms,4,0.9999999999999999,90m,35k,40m,64k,11g,13g,220s,6s,5,true,0.9999999999999999,false,false,0.6
22,110m,121k,300,980ms,3,0.8999999999999999,70m,45k,58m,78k,9g,14g,400s,10s,7,true,0.6,true,false,0.8999999999999999
23,109m,103k,230,690ms,3,0.8999999999999999,78m,31k,114m,88k,11g,8g,180s,3s,3,true,0.7,true,true,0.9999999999999999
24,67m,38k,450,620ms,2,0.6,70m,39k,120m,58k,6g,10g,80s,6s,3,true,0.9999999999999999,true,false,0.5
25,101m,62k,570,790ms,3,0.6,42m,24k,38m,114k,10g,11g,220s,5s,8,false,0.7,false,true,0.8999999999999999
26,28m,78k,700,470ms,4,0.7,58m,116k,116m,38k,7g,14g,40s,9s,7,true,0.7,false,true,0.9999999999999999
27,79m,117k,600,960ms,4,0.8999999999999999,98m,24k,84m,92k,10g,9g,500s,3s,7,true,0.8999999999999999,false,true,0.7
28,74m,50k,280,450ms,3,0.5,102m,108k,68m,36k,12g,9g,300s,4s,6,false,0.9999999999999999,true,true,0.5
29,128m,27k,870,330ms,5,0.7999999999999999,76m,116k,120m,104k,12g,13g,160s,8s,4,false,0.7999999999999999,false,true,0.7
30,31m,88k,800,430ms,1,0.8999999999999999,10m,28k,114m,104k,8g,7g,500s,4s,5,false,0.6,true,false,0.7999999999999999
31,38m,96k,460,740ms,5,0.7999999999999999,62m,43k,34m,24k,7g,8g,100s,2s,8,false,0.5,false,false,0.7999999999999999
32,43m,122k,280,960ms,5,0.7999999999999999,16m,77k,26m,32k,11g,9g,120s,2s,1,false,0.9999999999999999,false,true,0.8999999999999999
33,59m,45k,740,330ms,3,0.8999999999999999,44m,99k,64m,28k,8g,13g,480s,3s,5,false,0.6,false,true,0.7999999999999999
34,58m,122k,390,550ms,1,0.7999999999999999,80m,107k,62m,102k,10g,13g,460s,4s,3,false,0.9999999999999999,true,true,0.7999999999999999
35,106m,40k,750,520ms,2,0.6,126m,125k,66m,106k,11g,14g,440s,4s,6,true,0.5,false,true,0.9999999999999999
36,41m,25k,150,200ms,2,0.6,84m,59k,124m,44k,8g,15g,500s,1s,1,true,0.7999999999999999,true,true,0.7
37,61m,74k,290,840ms,3,0.6,62m,38k,104m,96k,10g,12g,240s,1s,8,false,0.5,true,true,0.8999999999999999
38,51m,49k,390,250ms,4,0.5,6m,47k,96m,92k,9g,8g,400s,9s,6,false,0.7,true,true,0.8999999999999999
39,79m,33k,430,800ms,2,0.5,80m,89k,54m,64k,10g,11g,460s,1s,8,true,0.6,false,true,0.7999999999999999
40,100m,93k,820,830ms,2,0.5,12m,94k,56m,42k,7g,11g,400s,5s,8,true,0.8999999999999999,true,false,0.6
41,64m,59k,360,610ms,4,0.7999999999999999,124m,39k,54m,88k,10g,11g,500s,1s,6,true,0.5,true,true,0.7999999999999999
42,81m,75k,820,120ms,1,0.7,42m,124k,110m,50k,10g,8g,60s,4s,2,true,0.9999999999999999,false,false,0.6
43,68m,65k,530,310ms,5,0.7999999999999999,36m,60k,124m,58k,12g,7g,80s,8s,7,false,0.7999999999999999,true,false,0.5
44,125m,43k,620,290ms,4,0.7,116m,26k,26m,62k,8g,15g,80s,2s,1,true,0.9999999999999999,true,false,0.6
45,61m,57k,770,940ms,3,0.7,78m,45k,52m,108k,8g,16g,400s,2s,3,true,0.6,false,false,0.7
46,29m,65k,790,430ms,3,0.7,36m,72k,92m,48k,11g,6g,200s,2s,7,false,0.6,true,true,0.8999999999999999
47,53m,121k,280,730ms,5,0.7,2m,37k,114m,66k,9g,9g,360s,2s,1,true,0.5,false,true,0.7999999999999999
48,48m,97k,120,800ms,4,0.7999999999999999,126m,64k,48m,84k,12g,15g,120s,9s,1,false,0.5,true,false,0.7
49,55m,31k,190,650ms,4,0.5,92m,121k,92m,64k,11g,7g,460s,1s,8,true,0.5,false,false,0.9999999999999999
50,84m,101k,970,640ms,3,0.5,18m,111k,106m,50k,11g,12g,260s,9s,4,true,0.8999999999999999,false,false,0.9999999999999999
51,40m,90k,870,930ms,5,0.5,78m,63k,80m,92k,12g,9g,20s,3s,6,true,0.9999999999999999,false,true,0.5
52,88m,44k,220,990ms,1,0.7999999999999999,78m,24k,54m,116k,6g,8g,240s,8s,2,true,0.6,true,false,0.5
53,40m,24k,230,220ms,5,0.5,62m,98k,46m,42k,9g,12g,140s,9s,4,true,0.8999999999999999,false,true,0.8999999999999999
54,32m,53k,190,160ms,2,0.6,62m,80k,108m,68k,11g,13g,440s,7s,1,true,0.8999999999999999,true,false,0.7
55,38m,99k,940,360ms,3,0.7,120m,43k,36m,66k,9g,12g,200s,7s,8,true,0.6,true,true,0.8999999999999999
56,116m,73k,760,630ms,2,0.6,100m,120k,100m,82k,7g,13g,380s,10s,8,false,0.5,true,false,0.8999999999999999
57,95m,61k,620,920ms,5,0.9999999999999999,78m,82k,64m,100k,6g,11g,160s,4s,5,false,0.5,false,true,0.6
58,68m,73k,940,640ms,1,0.5,44m,65k,74m,76k,9g,12g,20s,9s,8,true,0.7999999999999999,false,false,0.6
59,75m,71k,850,510ms,5,0.6,84m,128k,30m,104k,12g,10g,360s,1s,5,false,0.9999999999999999,true,false,0.5
60,95m,95k,300,380ms,2,0.8999999999999999,86m,117k,40m,126k,12g,16g,360s,7s,3,true,0.8999999999999999,false,false,0.9999999999999999
61,125m,93k,120,300ms,5,0.7,2m,114k,24m,84k,7g,15g,280s,8s,1,false,0.9999999999999999,false,false,0.9999999999999999
62,94m,103k,450,990ms,4,0.9999999999999999,38m,93k,42m,112k,7g,13g,260s,6s,1,false,0.7999999999999999,true,false,0.6
63,116m,73k,840,350ms,5,0.7,92m,108k,118m,96k,12g,15g,60s,5s,2,true,0.9999999999999999,true,false,0.5
64,106m,53k,580,160ms,1,0.9999999999999999,50m,59k,104m,54k,10g,15g,260s,1s,3,false,0.6,false,true,0.9999999999999999
65,56m,80k,510,230ms,3,0.7999999999999999,104m,33k,88m,54k,10g,12g,120s,5s,3,true,0.7,true,false,0.9999999999999999
66,93m,100k,850,700ms,2,0.8999999999999999,126m,100k,72m,100k,12g,14g,240s,2s,4,false,0.7999999999999999,true,false,0.5
67,27m,109k,460,120ms,1,0.9999999999999999,32m,64k,48m,52k,12g,8g,400s,8s,8,true,0.8999999999999999,true,true,0.9999999999999999
68,78m,118k,720,980ms,3,0.9999999999999999,40m,77k,64m,92k,6g,15g,400s,8s,7,true,0.7,false,true,0.6
69,64m,128k,580,800ms,5,0.7999999999999999,94m,86k,86m,36k,10g,12g,440s,5s,2,true,0.5,true,false,0.9999999999999999
70,85m,102k,670,950ms,2,0.6,78m,94k,66m,32k,9g,8g,380s,5s,4,false,0.7,true,true,0.9999999999999999
71,40m,73k,400,830ms,2,0.7,44m,96k,38m,52k,11g,15g,120s,9s,2,true,0.6,true,false,0.9999999999999999
72,105m,44k,160,720ms,1,0.7,38m,24k,38m,40k,10g,16g,100s,10s,8,false,0.6,true,false,0.7999999999999999
73,117m,75k,670,560ms,5,0.6,102m,55k,108m,76k,6g,8g,120s,4s,3,false,0.8999999999999999,false,false,0.8999999999999999
74,37m,51k,230,730ms,3,0.5,92m,103k,72m,116k,9g,12g,180s,7s,1,false,0.6,true,false,0.7999999999999999
75,100m,38k,700,760ms,3,0.5,118m,62k,32m,36k,10g,8g,360s,2s,6,true,0.7,true,true,0.7
76,127m,121k,860,840ms,4,0.8999999999999999,78m,68k,118m,32k,9g,10g,320s,10s,4,false,0.7,true,true,0.5
77,69m,93k,840,290ms,1,0.8999999999999999,80m,91k,92m,42k,12g,15g,100s,1s,1,true,0.8999999999999999,true,true,0.9999999999999999
78,41m,56k,620,520ms,1,0.5,8m,96k,90m,56k,6g,8g,40s,1s,3,false,0.7999999999999999,false,false,0.9999999999999999
79,70m,126k,840,410ms,3,0.5,40m,117k,42m,68k,9g,9g,320s,5s,7,false,0.6,true,false,0.9999999999999999
80,36m,64k,180,100ms,1,0.7,14m,80k,78m,112k,7g,16g,80s,2s,2,true,0.5,false,false,0.8999999999999999
81,79m,100k,160,570ms,2,0.8999999999999999,70m,102k,44m,34k,9g,8g,180s,2s,2,true,0.5,false,false,0.7999999999999999
82,104m,87k,260,730ms,5,0.9999999999999999,86m,36k,78m,120k,9g,12g,140s,10s,7,false,0.7,true,true,0.9999999999999999
83,45m,121k,100,460ms,5,0.8999999999999999,38m,36k,62m,82k,8g,6g,200s,9s,2,true,0.8999999999999999,true,true,0.5
84,111m,94k,150,850ms,2,0.7,4m,24k,70m,106k,12g,8g,460s,8s,8,false,0.5,false,true,0.7
85,44m,116k,360,200ms,3,0.7999999999999999,128m,58k,64m,94k,9g,11g,340s,1s,3,true,0.9999999999999999,false,true,0.7
86,42m,26k,590,450ms,1,0.9999999999999999,66m,104k,118m,100k,6g,12g,340s,3s,5,false,0.7999999999999999,true,true,0.9999999999999999
87,62m,43k,590,620ms,4,0.6,34m,117k,52m,114k,10g,9g,220s,2s,7,true,0.5,false,false,0.7999999999999999
88,98m,44k,570,500ms,3,0.7999999999999999,24m,61k,80m,74k,8g,10g,280s,6s,6,false,0.7999999999999999,true,false,0.5
89,33m,28k,490,980ms,1,0.8999999999999999,30m,43k,42m,118k,12g,12g,200s,1s,2,false,0.7,false,false,0.7999999999999999
90,40m,77k,690,690ms,5,0.6,72m,66k,114m,44k,12g,9g,260s,4s,8,false,0.7,true,true,0.7
91,45m,111k,440,840ms,1,0.9999999999999999,84m,61k,116m,100k,11g,9g,180s,10s,5,true,0.6,true,true,0.5
92,37m,101k,870,640ms,2,0.8999999999999999,102m,24k,50m,66k,9g,10g,200s,8s,5,false,0.5,false,true,0.6
93,125m,67k,760,460ms,5,0.6,100m,61k,92m,88k,7g,6g,400s,5s,4,true,0.5,true,true,0.8999999999999999
94,97m,110k,200,370ms,2,0.7,114m,120k,110m,60k,11g,9g,40s,10s,4,true,0.7,true,false,0.7999999999999999
95,109m,103k,330,500ms,3,0.5,4m,34k,46m,42k,9g,16g,160s,10s,8,false,0.9999999999999999,false,false,0.6
96,113m,39k,230,1000ms,3,0.8999999999999999,50m,112k,46m,94k,11g,11g,360s,2s,5,false,0.9999999999999999,false,false,0.7999999999999999
97,59m,123k,740,320ms,1,0.7999999999999999,86m,114k,86m,76k,6g,8g,60s,1s,7,false,0.9999999999999999,false,true,0.6
98,86m,75k,910,390ms,4,0.6,96m,88k,112m,100k,7g,15g,340s,5s,2,true,0.5,false,true,0.7999999999999999
99,80m,81k,650,430ms,1,0.9999999999999999,60m,57k,34m,92k,11g,12g,500s,8s,1,false,0.8999999999999999,true,true,0.7
100,54m,69k,730,420ms,5,0.7,64m,68k,42m,46k,7g,10g,480s,8s,5,false,0.6,true,false,0.7999999999999999
101,34m,72k,150,320ms,3,0.5,122m,107k,120m,82k,7g,9g,280s,4s,8,false,0.9999999999999999,true,false,0.9999999999999999
102,126m,105k,670,230ms,5,0.5,16m,106k,102m,72k,8g,13g,300s,6s,8,false,0.7,false,false,0.5
103,68m,80k,620,410ms,4,0.9999999999999999,96m,76k,104m,26k,6g,12g,260s,6s,1,false,0.9999999999999999,false,true,0.7
104,46m,83k,230,850ms,3,0.9999999999999999,58m,98k,128m,62k,11g,15g,120s,3s,7,false,0.7,true,true,0.7999999999999999
105,99m,38k,670,340ms,1,0.6,44m,43k,80m,68k,8g,14g,160s,3s,6,true,0.6,true,true,0.9999999999999999
106,70m,44k,460,920ms,3,0.6,4m,64k,116m,86k,8g,10g,420s,7s,3,false,0.9999999999999999,false,true,0.6
107,115m,99k,730,870ms,2,0.7,18m,80k,38m,112k,8g,9g,240s,10s,3,false,0.5,true,false,0.5
108,125m,55k,310,660ms,4,0.6,42m,105k,72m,62k,6g,13g,500s,1s,5,true,0.8999999999999999,false,true,0.9999999999999999
109,45m,95k,930,780ms,5,0.7,60m,104k,50m,46k,6g,16g,480s,1s,1,false,0.5,true,true,0.6
110,122m,103k,210,470ms,2,0.7999999999999999,86m,43k,62m,44k,10g,11g,240s,5s,8,true,0.6,true,true,0.7999999999999999
111,39m,43k,980,380ms,4,0.6,126m,42k,90m,40k,12g,6g,100s,1s,3,true,0.5,false,true,0.7999999999999999
112,51m,24k,990,440ms,2,0.7,10m,40k,88m,102k,10g,15g,200s,6s,4,false,0.5,true,true,0.5
113,79m,122k,500,960ms,4,0.7,46m,102k,72m,42k,7g,10g,320s,8s,6,true,0.5,true,false,0.9999999999999999
114,51m,41k,660,790ms,5,0.5,74m,44k,94m,64k,9g,15g,120s,9s,6,true,0.6,true,true,0.6
115,121m,110k,710,300ms,3,0.5,116m,32k,120m,62k,8g,6g,320s,4s,2,true,0.5,false,true,0.9999999999999999
116,76m,61k,200,700ms,1,0.7999999999999999,64m,44k,36m,32k,7g,12g,100s,1s,7,true,0.7999999999999999,true,false,0.8999999999999999
117,29m,69k,490,890ms,5,0.9999999999999999,64m,97k,90m,68k,8g,8g,180s,2s,2,false,0.9999999999999999,false,true,0.6
118,47m,104k,450,260ms,5,0.7,30m,121k,24m,54k,8g,11g,20s,4s,5,true,0.9999999999999999,true,true,0.6
119,123m,59k,120,660ms,1,0.6,52m,60k,40m,74k,11g,10g,340s,10s,3,true,0.8999999999999999,true,false,0.7
120,66m,118k,160,870ms,1,0.9999999999999999,28m,107k,44m,40k,11g,16g,160s,1s,3,false,0.7999999999999999,false,true,0.5
121,101m,101k,930,130ms,4,0.7,20m,29k,40m,38k,9g,14g,200s,10s,8,true,0.9999999999999999,true,true,0.8999999999999999
122,123m,39k,210,310ms,1,0.7999999999999999,104m,83k,124m,124k,8g,8g,180s,8s,8,false,0.6,false,false,0.6
123,69m,128k,290,470ms,5,0.6,122m,80k,60m,106k,12g,15g,240s,3s,4,true,0.7,false,false,0.7
124,104m,43k,360,540ms,2,0.5,4m,49k,98m,98k,6g,15g,280s,1s,5,true,0.7,false,false,0.8999999999999999
125,105m,26k,850,610ms,3,0.6,84m,123k,46m,44k,12g,13g,160s,9s,7,false,0.9999999999999999,true,false,0.9999999999999999
126,27m,114k,370,200ms,5,0.5,84m,94k,98m,80k,11g,12g,360s,2s,8,false,0.9999999999999999,false,true,0.7999999999999999
127,96m,43k,280,210ms,3,0.9999999999999999,60m,85k,110m,96k,12g,15g,40s,10s,4,true,0.9999999999999999,true,false,0.6
128,48m,110k,150,170ms,2,0.5,64m,96k,96m,56k,7g,10g,480s,2s,4,false,0.5,false,false,0.8999999999999999
129,27m,28k,530,430ms,4,0.7999999999999999,50m,33k,56m,124k,9g,6g,80s,5s,8,false,0.6,true,true,0.8999999999999999
130,24m,111k,1000,550ms,1,0.7999999999999999,8m,83k,120m,90k,9g,7g,80s,1s,1,true,0.9999999999999999,false,true,0.9999999999999999
131,79m,125k,990,370ms,5,0.8999999999999999,72m,103k,56m,36k,11g,12g,360s,1s,4,true,0.7,false,true,0.6
132,37m,105k,300,560ms,1,0.9999999999999999,14m,35k,60m,104k,10g,13g,240s,2s,2,false,0.6,false,true,0.7
133,62m,117k,290,470ms,4,0.7,50m,103k,102m,62k,8g,6g,20s,6s,8,true,0.9999999999999999,true,true,0.8999999999999999
134,36m,82k,180,240ms,1,0.7999999999999999,28m,106k,42m,114k,8g,16g,80s,8s,6,false,0.9999999999999999,true,false,0.8999999999999999
135,57m,115k,490,100ms,2,0.9999999999999999,98m,24k,30m,38k,12g,15g,360s,3s,6,false,0.9999999999999999,true,false,0.7
136,63m,123k,170,950ms,2,0.7999999999999999,66m,111k,82m,34k,11g,11g,140s,6s,4,true,0.8999999999999999,true,false,0.6
137,40m,101k,940,720ms,2,0.5,14m,127k,50m,126k,8g,8g,120s,3s,6,false,0.5,true,true,0.6
138,121m,71k,480,120ms,3,0.7999999999999999,54m,65k,64m,58k,6g,11g,400s,3s,5,true,0.7999999999999999,false,true,0.8999999999999999
139,55m,39k,680,890ms,3,0.7,84m,78k,120m,88k,10g,8g,220s,1s,8,true,0.7,true,false,0.7
140,97m,49k,320,980ms,4,0.9999999999999999,14m,66k,80m,76k,12g,16g,40s,10s,2,true,0.8999999999999999,true,true,0.9999999999999999
141,74m,126k,840,320ms,5,0.7999999999999999,98m,110k,70m,114k,6g,11g,400s,3s,7,true,0.9999999999999999,true,false,0.7
142,84m,65k,870,820ms,5,0.7,14m,102k,104m,50k,11g,14g,260s,1s,5,true,0.9999999999999999,false,false,0.7999999999999999
143,41m,42k,980,760ms,1,0.8999999999999999,108m,109k,30m,92k,6g,13g,360s,3s,5,true,0.5,true,false,0.6
144,65m,76k,510,520ms,3,0.5,128m,29k,128m,28k,11g,14g,100s,8s,1,false,0.9999999999999999,false,false,0.7999999999999999
145,63m,60k,580,880ms,5,0.6,14m,80k,42m,62k,9g,10g,40s,6s,8,false,0.7,false,false,0.7
146,114m,37k,200,550ms,3,0.8999999999999999,92m,40k,58m,74k,7g,8g,340s,5s,8,true,0.9999999999999999,true,true,0.7
147,75m,77k,190,230ms,2,0.9999999999999999,82m,65k,68m,66k,6g,11g,120s,8s,1,true,0.6,false,false,0.7
148,29m,123k,200,890ms,2,0.7,4m,126k,50m,30k,10g,6g,460s,8s,4,true,0.5,false,true,0.5
149,107m,25k,100,580ms,4,0.8999999999999999,24m,86k,128m,82k,6g,15g,400s,1s,6,true,0.7,true,false,0.9999999999999999
150,108m,119k,190,610ms,1,0.9999999999999999,42m,127k,44m,96k,9g,13g,40s,7s,4,false,0.6,false,true,0.7999999999999999
151,127m,69k,290,230ms,2,0.7,86m,30k,128m,90k,6g,15g,160s,5s,4,false,0.6,true,true,0.7
152,60m,100k,530,460ms,4,0.7,22m,41k,38m,112k,9g,16g,400s,8s,5,false,0.7999999999999999,true,true,0.9999999999999999
153,39m,31k,300,550ms,2,0.9999999999999999,14m,111k,34m,28k,11g,6g,120s,4s,3,false,0.9999999999999999,true,true,0.5
154,49m,122k,730,210ms,3,0.6,94m,97k,98m,56k,12g,8g,460s,10s,4,true,0.8999999999999999,true,false,0.6
155,119m,57k,870,750ms,1,0.9999999999999999,100m,105k,26m,84k,10g,8g,360s,9s,2,false,0.7,true,false,0.5
156,52m,32k,560,430ms,3,0.8999999999999999,118m,42k,74m,90k,9g,13g,260s,9s,6,true,0.6,true,true,0.8999999999999999
157,25m,102k,470,170ms,5,0.8999999999999999,10m,105k,104m,72k,10g,9g,380s,3s,8,false,0.6,false,true,0.7
158,69m,69k,150,280ms,2,0.6,56m,81k,32m,84k,8g,6g,440s,1s,7,false,0.9999999999999999,false,true,0.6
159,33m,73k,320,120ms,4,0.5,20m,93k,68m,112k,12g,11g,300s,3s,5,false,0.7,true,false,0.8999999999999999
160,105m,42k,140,280ms,1,0.9999999999999999,12m,110k,88m,26k,6g,7g,120s,10s,3,true,0.7999999999999999,false,false,0.8999999999999999
161,107m,54k,850,370ms,5,0.5,110m,94k,84m,26k,8g,6g,440s,6s,7,true,0.9999999999999999,true,false,0.9999999999999999
162,31m,91k,940,440ms,5,0.7,68m,106k,30m,54k,8g,8g,100s,7s,7,false,0.7999999999999999,true,true,0.7999999999999999
163,125m,100k,330,1000ms,2,0.7,24m,36k,26m,30k,12g,9g,60s,7s,2,false,0.6,false,true,0.7
164,124m,122k,530,380ms,3,0.7999999999999999,22m,39k,84m,90k,6g,16g,460s,1s,1,true,0.5,true,true,0.7999999999999999
165,110m,88k,670,410ms,4,0.7,4m,115k,128m,122k,11g,7g,280s,2s,3,false,0.7999999999999999,true,true,0.6
166,44m,91k,340,300ms,5,0.5,20m,96k,78m,30k,12g,8g,180s,6s,1,false,0.9999999999999999,false,false,0.7
167,96m,35k,940,680ms,3,0.7,92m,112k,50m,32k,8g,7g,480s,6s,2,false,0.7999999999999999,true,false,0.5
168,122m,37k,120,160ms,2,0.9999999999999999,18m,38k,78m,86k,6g,13g,500s,5s,7,false,0.7,true,true,0.7
169,56m,97k,180,460ms,4,0.7999999999999999,20m,104k,98m,120k,9g,9g,360s,5s,6,true,0.6,false,false,0.7
170,96m,40k,600,670ms,4,0.7999999999999999,128m,121k,84m,42k,12g,9g,60s,2s,6,false,0.7999999999999999,true,true,0.6
171,45m,96k,570,720ms,2,0.7999999999999999,58m,113k,50m,44k,9g,14g,260s,1s,8,true,0.5,false,false,0.6
172,46m,74k,840,370ms,3,0.7999999999999999,80m,115k,42m,42k,12g,13g,80s,8s,2,true,0.8999999999999999,false,false,0.9999999999999999
173,78m,126k,590,880ms,4,0.7,60m,35k,34m,104k,7g,6g,160s,1s,8,true,0.7999999999999999,false,false,0.5
174,93m,56k,150,730ms,5,0.5,110m,93k,110m,24k,6g,16g,260s,10s,5,false,0.7999999999999999,false,true,0.8999999999999999
175,38m,92k,790,340ms,3,0.8999999999999999,36m,42k,38m,104k,6g,12g,160s,9s,2,false,0.5,true,false,0.8999999999999999
176,89m,59k,640,670ms,2,0.9999999999999999,66m,103k,84m,118k,9g,10g,60s,5s,1,false,0.8999999999999999,true,true,0.7
177,99m,69k,890,560ms,2,0.7,6m,122k,32m,124k,11g,12g,380s,3s,6,false,0.9999999999999999,true,true,0.8999999999999999
178,74m,89k,150,310ms,3,0.8999999999999999,30m,37k,76m,76k,10g,11g,320s,2s,4,false,0.5,false,false,0.7
179,81m,119k,730,710ms,4,0.6,54m,69k,126m,126k,8g,15g,480s,9s,6,false,0.7999999999999999,false,true,0.6
180,90m,75k,400,120ms,5,0.8999999999999999,78m,59k,128m,96k,8g,11g,200s,3s,5,false,0.8999999999999999,false,true,0.7
181,26m,125k,670,770ms,3,0.5,126m,111k,66m,122k,12g,6g,300s,4s,5,false,0.5,true,false,0.6
182,69m,96k,750,100ms,1,0.7,66m,33k,80m,124k,10g,15g,280s,9s,2,true,0.7,false,false,0.6
183,72m,98k,740,370ms,5,0.7999999999999999,20m,78k,106m,48k,10g,11g,260s,2s,7,true,0.7999999999999999,true,true,0.6
184,113m,77k,720,300ms,2,0.5,40m,91k,94m,46k,8g,10g,240s,9s,7,false,0.9999999999999999,true,true,0.8999999999999999
185,39m,90k,550,120ms,4,0.7,24m,95k,66m,90k,10g,10g,20s,6s,1,true,0.9999999999999999,true,false,0.7999999999999999
186,91m,46k,750,340ms,4,0.7,124m,42k,126m,40k,6g,7g,320s,6s,8,true,0.8999999999999999,false,false,0.8999999999999999
187,108m,38k,930,470ms,5,0.5,72m,33k,36m,72k,8g,6g,240s,5s,5,true,0.8999999999999999,true,true,0.5
188,108m,83k,700,860ms,4,0.7999999999999999,118m,127k,116m,106k,8g,12g,60s,8s,7,false,0.6,false,true,0.7
189,110m,75k,110,320ms,2,0.8999999999999999,126m,124k,60m,42k,7g,10g,240s,2s,2,false,0.6,false,false,0.7999999999999999
190,24m,75k,220,550ms,1,0.9999999999999999,68m,119k,52m,68k,12g,10g,200s,2s,7,true,0.5,false,true,0.7999999999999999
191,24m,112k,170,220ms,1,0.7999999999999999,104m,110k,76m,40k,11g,7g,400s,2s,5,false,0.7,true,false,0.8999999999999999
192,29m,67k,1000,120ms,1,0.7999999999999999,102m,108k,120m,60k,8g,9g,260s,4s,2,true,0.7999999999999999,false,true,0.7999999999999999
193,124m,47k,730,440ms,5,0.7999999999999999,120m,102k,108m,78k,8g,6g,360s,4s,2,true,0.9999999999999999,true,false,0.8999999999999999
194,91m,75k,840,980ms,3,0.9999999999999999,88m,71k,48m,100k,12g,9g,240s,2s,7,false,0.8999999999999999,false,true,0.7999999999999999
195,33m,93k,320,490ms,5,0.8999999999999999,72m,73k,70m,24k,11g,16g,20s,8s,3,true,0.8999999999999999,false,true,0.7999999999999999
196,93m,24k,340,700ms,5,0.7999999999999999,88m,85k,32m,78k,9g,6g,400s,8s,8,false,0.8999999999999999,true,false,0.5
197,123m,32k,960,100ms,4,0.7999999999999999,96m,105k,32m,84k,8g,12g,440s,9s,5,false,0.7,false,true,0.7999999999999999
198,79m,31k,740,120ms,5,0.7999999999999999,78m,101k,68m,126k,7g,7g,480s,1s,4,false,0.5,true,false,0.5
199,84m,46k,630,500ms,1,0.6,2m,46k,48m,30k,8g,10g,480s,3s,4,true,0.7,true,false,0.9999999999999999
